,LeadGRN,code,Indicator,Exercise,Total,Unit
1,19-ECW-MYR-10-TCD-UNI,e46_drr,"Number of teachers/ administrators trained in emergency preparedness, DRR, risk management topics.",ARR23 Annual,3,Number #
2,19-ECW-MYR-10-TCD-UNI,e46_gender,Number of ECW supported teachers / administrators (m/f)  trained on gender specific topics ,ARR23 Annual,3,Number #
3,19-ECW-MYR-10-TCD-UNI,e46_learning,"Number of teachers/ administrators (m/f) trained in subject knowledge, curriculum / planning or pedagogy topics.",ARR23 Annual,3,Number #
4,19-ECW-MYR-10-TCD-UNI,e46_mhpss,Number of teachers/ administrators (m/f) trained in MHPSS and psychological support topics.,ARR23 Annual,3,Number #
5,19-ECW-MYR-11-ETH-STC,e11,Number of teachers / administrators recruited / financially supported.,ARR23 Annual,3,Number #
6,19-ECW-MYR-11-ETH-STC,e12,Number of classrooms (including in temporary learning spaces) built or rehabilitated,ARR23 Annual,1,Number #
7,19-ECW-MYR-11-ETH-STC,e13,"Number of boys, girls, and adolescents in ECW-supported communities receiving cash transfers for education",ARR23 Annual,1,Number #
8,19-ECW-MYR-11-ETH-STC,e46,Number of teachers / administrators trained,ARR23 Annual,3,Number #
9,19-ECW-MYR-11-ETH-STC,e46_gender,Number of ECW supported teachers / administrators (m/f)  trained on gender specific topics ,ARR23 Annual,3,Number #
10,19-ECW-MYR-11-ETH-STC,e46_learning,"Number of teachers/ administrators (m/f) trained in subject knowledge, curriculum / planning or pedagogy topics.",ARR23 Annual,3,Number #
11,19-ECW-MYR-11-ETH-STC,e46_wash,Number of teachers/ administrators (m/f) trained in WASH topics.,ARR23 Annual,3,Number #
12,19-ECW-MYR-11-ETH-STC,e510,Number of schools/ learning spaces supported by ECW that have a dedicated MHPSS focal point available on site,ARR23 Annual,1,Number #
13,19-ECW-MYR-11-ETH-STC,e53,"Number of ECW-supported learning spaces whereby a code of conduct (I) exists (ii) is enforced and, (iii) teachers and communities are trained / informed on its application",ARR23 Annual,1,Number #
14,19-ECW-MYR-11-ETH-STC,e54,Number of ECW-supported learning spaces that have a functioning school-management committee and / or parent-teacher association,ARR23 Annual,1,Number #
15,19-ECW-MYR-11-ETH-STC,e55,Number of ECW-supported learning spaces with DRR systems / processes / measures in place,ARR23 Annual,1,Number #
16,20-ECW-MYR-02-AFG-UNI,e41,Number of classrooms supported with materials to enhance the learning environment,ARR23 Annual,1,Number #
17,20-ECW-MYR-02-AFG-UNI,e46_drr,"Number of teachers/ administrators (m/f) trained in emergency preparedness, DRR, risk management topics.",ARR23 Annual,1,Number #
18,20-ECW-MYR-02-AFG-UNI,e46_learning,"Number of teachers/ administrators (m/f) trained in subject knowledge, curriculum / planning or pedagogy topics.",ARR23 Annual,1,Number #
19,20-ECW-MYR-02-AFG-UNI,e46_mhpss,Number of teachers/ administrators trained in MHPSS and/or psychological support topics,ARR23 Annual,3,Number #
20,20-ECW-MYR-02-AFG-UNI,z3,"Boys, girls and adolescents (3-18 year olds) with disabilities have access to assistive devices and learning aids that meet their needs",ARR23 Annual,3,Number #
21,20-ECW-MYR-02-AFG-UNI,z3,No data,ARR21 Annual,3,Number #
22,20-ECW-MYR-03-ECU-UES,e46_learning,"Number of teachers/ administrators (m/f) trained in subject knowledge, curriculum / planning or pedagogy topics.",ARR23 Annual,3,Number #
23,20-ECW-MYR-03-ECU-UES,e511,Number of gender-responsive and inclusive latrines constructed or rehabilitated,ARR23 Annual,1,Number #
24,20-ECW-MYR-04-COL-STC,e41,Number of classrooms supported with teaching and learning materials to enhance the learning environment,ARR23 Annual,1,Number #
25,20-ECW-MYR-04-COL-STC,e46,Number of teachers / administrators trained,ARR23 Annual,3,Number #
26,20-ECW-MYR-04-COL-STC,e46_drr,"Number of teachers/ administrators (m/f) trained in emergency preparedness, DRR, risk management topics.",ARR23 Annual,3,Number #
27,20-ECW-MYR-04-COL-STC,e46_gender,Number of ECW supported teachers / administrators (m/f)  trained on gender specific topics ,ARR23 Annual,3,Number #
28,20-ECW-MYR-04-COL-STC,e46_learning,"Number of teachers/ administrators (m/f) trained in subject knowledge, curriculum / planning or pedagogy topics.",ARR23 Annual,3,Number #
